Zeit;Kanal A
(ms);(V)

-4.69131486;0.98071480
-4.69121086;1.02731300
-4.69110686;0.98071480
-4.69100286;1.02731300
-4.69089886;1.02731300
-4.69079486;1.02731300
-4.69069086;1.02731300
-4.69058686;1.02731300
-4.69048286;1.02731300
-4.69037886;0.98071480
-4.69027486;1.02731300
-4.69017086;1.02731300
-4.69006686;1.02731300
-4.68996286;1.02731300
-4.68985886;0.98071480
-4.68975486;1.02731300
-4.68965086;1.02731300
-4.68954686;1.02731300
-4.68944286;1.02731300
-4.68933886;1.02731300
-4.68923486;1.02731300
-4.68913086;1.02731300
-4.68902686;0.98071480
-4.68892286;1.02731300
-4.68881886;0.98071480
-4.68871486;1.02731300
-4.68861086;1.02731300
-4.68850686;1.02731300
-4.68840286;1.02731300
-4.68829886;0.98071480
-4.68819486;1.02731300
-4.68809086;1.02731300
-4.68798686;1.02731300
-4.68788286;1.02731300
-4.68777886;1.02731300
-4.68767486;1.02731300
-4.68757086;0.98071480
-4.68746686;1.02731300
-4.68736286;1.02731300
-4.68725886;1.02731300
-4.68715486;0.98071480
-4.68705086;1.02731300
-4.68694686;1.02731300
-4.68684286;1.02731300
-4.68673886;1.02731300
-4.68663486;1.02731300
-4.68653086;1.02731300
-4.68642686;1.02731300
-4.68632286;0.98071480
-4.68621886;1.02731300
-4.68611486;1.02731300
-4.68601086;1.02731300
-4.68590686;0.98071480
-4.68580286;1.02731300
-4.68569886;1.02731300
-4.68559486;1.02731300
-4.68549086;0.98071480
-4.68538686;1.02731300
-4.68528286;0.98071480
-4.68517886;1.02731300
-4.68507486;0.98071480
-4.68497086;1.02731300
-4.68486686;1.02731300
-4.68476286;1.02731300
-4.68465886;1.02731300
-4.68455486;1.02731300
-4.68445086;1.02731300
-4.68434686;1.02731300
-4.68424286;1.02731300
-4.68413886;1.02731300
-4.68403486;1.02731300
-4.68393086;1.02731300
-4.68382686;1.02731300
-4.68372286;1.02731300
-4.68361886;1.02731300
-4.68351486;1.02731300
-4.68341086;1.02731300
-4.68330686;1.02731300
-4.68320286;0.98071480
-4.68309886;0.98071480
-4.68299486;0.98071480
-4.68289086;1.02731300
-4.68278686;1.02731300
-4.68268286;1.02731300
-4.68257886;0.98071480
-4.68247486;1.02731300
-4.68237086;1.02731300
-4.68226686;1.02731300
-4.68216286;0.98071480
-4.68205886;1.02731300
-4.68195486;1.02731300
-4.68185086;1.02731300
-4.68174686;1.02731300
-4.68164286;1.02731300
-4.68153886;0.98071480
-4.68143486;1.02731300
-4.68133086;0.98071480
-4.68122686;1.02731300
-4.68112286;0.98071480
-4.68101886;1.02731300
-4.68091486;1.02731300
-4.68081086;1.02731300
-4.68070686;1.02731300
-4.68060286;1.02731300
-4.68049886;0.98071480
-4.68039486;1.02731300
-4.68029086;0.98071480
-4.68018686;1.02731300
-4.68008286;0.98071480
-4.67997886;1.02731300
-4.67987486;0.98071480
-4.67977086;1.02731300
-4.67966686;0.98071480
-4.67956286;0.98071480
-4.67945886;1.02731300
-4.67935486;0.98071480
-4.67925086;1.02731300
-4.67914686;1.02731300
-4.67904286;0.98071480
-4.67893886;0.98071480
-4.67883486;0.98071480
-4.67873086;1.02731300
-4.67862686;1.02731300
-4.67852286;1.02731300
-4.67841886;0.98071480
-4.67831486;1.02731300
-4.67821086;0.98071480
-4.67810686;1.02731300
-4.67800286;0.98071480
-4.67789886;1.02731300
-4.67779486;0.98071480
-4.67769086;0.98071480
-4.67758686;0.98071480
-4.67748286;0.98071480
-4.67737886;0.98071480
-4.67727486;0.98071480
-4.67717086;1.02731300
-4.67706686;1.02731300
-4.67696286;1.02731300
-4.67685886;1.02731300
-4.67675486;1.02731300
-4.67665086;0.98071480
-4.67654686;0.98071480
-4.67644286;1.02731300
-4.67633886;1.02731300
-4.67623486;1.02731300
-4.67613086;1.02731300
-4.67602686;1.02731300
-4.67592286;1.02731300
-4.67581886;1.02731300
-4.67571486;0.98071480
-4.67561086;1.02731300
-4.67550686;0.98071480
-4.67540286;1.02731300
-4.67529886;1.02731300
-4.67519486;1.02731300
-4.67509086;1.02731300
-4.67498686;0.98071480
-4.67488286;1.02731300
-4.67477886;1.02731300
-4.67467486;1.02731300
-4.67457086;1.02731300
-4.67446686;0.98071480
-4.67436286;1.02731300
-4.67425886;0.98071480
-4.67415486;1.02731300
-4.67405086;0.98071480
-4.67394686;1.02731300
-4.67384286;0.98071480
-4.67373886;1.02731300
-4.67363486;0.98071480
-4.67353086;1.02731300
-4.67342686;1.02731300
-4.67332286;1.02731300
-4.67321886;1.02731300
-4.67311486;0.98071480
-4.67301086;0.98071480
-4.67290686;1.02731300
-4.67280286;1.02731300
-4.67269886;1.02731300
-4.67259486;1.02731300
-4.67249086;1.07406500
-4.67238686;1.02731300
-4.67228286;1.02731300
-4.67217886;1.02731300
-4.67207486;0.98071480
-4.67197086;1.02731300
-4.67186686;1.02731300
-4.67176286;1.02731300
-4.67165886;1.02731300
-4.67155486;0.98071480
-4.67145086;1.02731300
-4.67134686;0.98071480
-4.67124286;1.02731300
-4.67113886;1.02731300
-4.67103486;1.02731300
-4.67093086;0.98071480
-4.67082686;1.07406500
-4.67072286;1.02731300
-4.67061886;1.02731300
-4.67051486;1.02731300
-4.67041086;1.02731300
-4.67030686;0.98071480
-4.67020286;1.02731300
-4.67009886;1.02731300
-4.66999486;1.02731300
-4.66989086;0.98071480
-4.66978686;1.02731300
-4.66968286;0.98071480
-4.66957886;1.02731300
-4.66947486;0.98071480
-4.66937086;1.02731300
-4.66926686;1.02731300
-4.66916286;1.02731300
-4.66905886;0.98071480
-4.66895486;1.02731300
-4.66885086;0.98071480
-4.66874686;1.02731300
-4.66864286;1.02731300
-4.66853886;1.02731300
-4.66843486;1.02731300
-4.66833086;1.02731300
-4.66822686;1.02731300
-4.66812286;1.02731300
-4.66801886;1.02731300
-4.66791486;1.02731300
-4.66781086;1.02731300
-4.66770686;1.02731300
-4.66760286;0.98071480
-4.66749886;1.02731300
-4.66739486;1.02731300
-4.66729086;1.02731300
-4.66718686;1.02731300
-4.66708286;1.02731300
-4.66697886;1.02731300
-4.66687486;1.02731300
-4.66677086;1.02731300
-4.66666686;1.02731300
-4.66656286;1.02731300
-4.66645886;1.02731300
-4.66635486;1.02731300
-4.66625086;1.02731300
-4.66614686;1.02731300
-4.66604286;1.02731300
-4.66593886;1.02731300
-4.66583486;1.02731300
-4.66573086;1.02731300
-4.66562686;1.02731300
-4.66552286;1.02731300
-4.66541886;1.02731300
-4.66531486;1.02731300
-4.66521087;1.02731300
-4.66510687;1.02731300
-4.66500287;1.02731300
-4.66489887;1.02731300
-4.66479487;1.02731300
-4.66469087;1.02731300
-4.66458687;1.02731300
-4.66448287;1.02731300
-4.66437887;1.02731300
-4.66427487;1.02731300
-4.66417087;1.02731300
-4.66406687;1.02731300
-4.66396287;1.02731300
-4.66385887;1.02731300
-4.66375487;1.02731300
-4.66365087;1.02731300
-4.66354687;1.02731300
-4.66344287;1.02731300
-4.66333887;1.02731300
-4.66323487;1.02731300
-4.66313087;1.02731300
-4.66302687;1.02731300
-4.66292287;1.02731300
-4.66281887;0.98071480
-4.66271487;1.02731300
-4.66261087;1.02731300
-4.66250687;0.98071480
-4.66240287;0.98071480
-4.66229887;1.02731300
-4.66219487;1.02731300
-4.66209087;1.02731300
-4.66198687;1.02731300
-4.66188287;1.02731300
-4.66177887;1.02731300
-4.66167487;1.02731300
-4.66157087;1.02731300
-4.66146687;1.02731300
-4.66136287;1.02731300
-4.66125887;1.02731300
-4.66115487;0.98071480
-4.66105087;0.98071480
-4.66094687;1.02731300
-4.66084287;1.02731300
-4.66073887;1.02731300
-4.66063487;1.02731300
-4.66053087;0.98071480
-4.66042687;1.02731300
-4.66032287;0.98071480
-4.66021887;1.02731300
-4.66011487;1.02731300
-4.66001087;1.02731300
-4.65990687;1.02731300
-4.65980287;1.02731300
-4.65969887;1.02731300
-4.65959487;1.02731300
-4.65949087;1.02731300
-4.65938687;1.02731300
-4.65928287;0.98071480
-4.65917887;1.02731300
-4.65907487;0.98071480
-4.65897087;1.02731300
-4.65886687;0.98071480
-4.65876287;0.98071480
-4.65865887;0.98071480
-4.65855487;1.02731300
-4.65845087;0.98071480
-4.65834687;0.98071480
-4.65824287;1.02731300
-4.65813887;1.02731300
-4.65803487;1.02731300
-4.65793087;1.02731300
-4.65782687;0.98071480
-4.65772287;1.02731300
-4.65761887;1.02731300
-4.65751487;1.02731300
-4.65741087;1.02731300
-4.65730687;0.98071480
-4.65720287;0.98071480
-4.65709887;1.02731300
-4.65699487;1.02731300
-4.65689087;1.02731300
-4.65678687;0.98071480
-4.65668287;0.98071480
-4.65657887;0.98071480
-4.65647487;1.02731300
-4.65637087;1.02731300
-4.65626687;1.02731300
-4.65616287;1.02731300
-4.65605887;1.02731300
-4.65595487;1.02731300
-4.65585087;1.02731300
-4.65574687;0.98071480
-4.65564287;1.02731300
-4.65553887;1.02731300
